,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
2480,4,0,2,2,2,:1O:1O:2O,,2O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2481,4,0,2,2,2,:1O:1O:2O,,2O:2O1S,1S:1S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2482,4,0,2,2,2,:1O:1O:2O,,2O:2O1S,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2483,4,0,2,2,2,:1O:1O:2O,,2O:2O1S,2S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2484,4,0,2,2,2,:1O:1O:2O,,2O:2O2S,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2485,4,0,2,2,2,:1O:1O:2O,,2O:3O2S,:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2486,4,0,2,2,2,:1O:1O:2O,,3O1S:3O2S,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2487,4,0,3,1,2,1O:1O:1O:2O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
2488,4,0,3,1,2,1O:1O:1O:2O,,1O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
2489,4,0,3,1,2,1O:1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
2490,4,0,3,2,2,::1O:1O,,:1O:1O1S,2S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2491,4,0,3,2,2,:1O:1O:2O,,:1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2492,4,0,3,2,2,:1O:1O:2O,,:1O:1O1S,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2493,4,0,3,2,2,:1O:1O:2O,,:1O:3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2494,4,0,3,2,2,:1O:1O:2O,,:2O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2495,4,0,3,2,2,::1O:1O,,1N1O1S:1O:1O,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2496,4,0,3,2,2,::1O:1O,,:1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2497,4,0,3,2,2,::1O:1O,,:1O:1O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2498,4,0,3,2,2,::1O:1O,,:1O:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2499,4,0,3,1,2,::1O:1O,,1N3O2S:1O1S:1O1S,,1L:1L,1,0.03000300030003
2500,4,0,3,2,2,::1O:2O,,:1N1O1S:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2501,4,0,3,2,2,::1O:2O,,:1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2502,4,0,3,2,2,::1O:2O,,:2O:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2503,4,0,3,2,3,1O:1O:1O:1O,,:1O:3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2504,4,0,3,2,3,:1O:2O:2O,,1O:1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2505,4,0,3,3,3,:1O:1O:2O,,:1O:1O,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
2506,4,0,3,3,3,:1O:1O:2O,,::1O,:::1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
