,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
175,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
176,7,0,1,1,2,::1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
177,5,0,2,1,2,:1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
178,5,0,2,1,2,:1O:1O:1O:1O,,1O:3O2S,,1L:1L,3,0.09000900090009
179,3,0,3,1,2,1O:1O:2O,,1O:1O1S:2O1S,,1L:1L,3,0.09000900090009
180,7,0,1,1,2,::1O:1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
181,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,3,0.09000900090009
182,7,1,0,1,1,::::1O:1O:1O,,,,1L,3,0.09000900090009
183,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O1S,,1L:1L,3,0.09000900090009
184,5,1,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,3,0.09000900090009
185,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,3,0.09000900090009
186,5,0,2,1,2,:1O:1O:1O:1O,,2O:2O1S,,1L:1L,3,0.09000900090009
187,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:2O1S,,1L:1L,3,0.09000900090009
188,4,0,3,1,2,:1O:1O:1O,,1O1S:2O:2O,,1L:1L,3,0.09000900090009
189,7,0,2,1,2,::1O:1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
190,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
191,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,3,0.09000900090009
192,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,3,0.09000900090009
193,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
194,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O,,1L:1L,3,0.09000900090009
195,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
196,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,2,0.06000600060006
