,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
24,4,4,0,1,1,::1O:1O,:1N:1N:1N,,,1L,14,0.42004200420042
25,1,6,0,1,1,,:::1N:1N:1N,,,1L,13,0.39003900390039
26,4,4,0,1,1,:::,:1N:1N:1N,,,1L,13,0.39003900390039
27,3,3,0,1,1,:1O:1O,:1N:1N,,,1L,13,0.39003900390039
28,3,4,0,1,1,::,:1N:1N:1N,,,1L,12,0.36003600360036
29,2,4,0,1,1,:1O,:1N:1N:1N,,,1L,12,0.36003600360036
30,3,4,0,1,1,:1O:1O,:1N:1N:1N,,,1L,12,0.36003600360036
31,4,3,0,1,1,:1O:1O:1O,:1N:1N,,,1L,12,0.36003600360036
32,4,5,0,1,1,:::1O,::1N:1N:1N,,,1L,12,0.36003600360036
33,2,7,0,1,2,:1O,:1N:1N:1N:1N:1N:1N,,,1L:1L,11,0.33003300330033
34,5,4,0,1,1,::::1O,::1N:1N,,,1L,11,0.33003300330033
35,3,6,0,1,1,::,:::1N:1N:1N,,,1L,11,0.33003300330033
36,5,3,0,1,1,::::1O,:1N:1N,,,1L,11,0.33003300330033
37,4,5,0,1,1,::1O:1O,::1N:1N:1N,,,1L,10,0.3000300030003
38,2,5,0,1,1,:,:1N:1N:1N:1N,,,1L,10,0.3000300030003
39,2,5,0,1,1,1O:1O,:::1N:1N,,,1L,10,0.3000300030003
40,2,6,0,1,1,:1O,::1N:1N:1N:1N,,,1L,10,0.3000300030003
41,3,3,0,1,1,::1O,:1N:1N,,,1L,10,0.3000300030003
42,2,6,0,1,1,:1O,::::1N:1N,,,1L,9,0.27002700270027
43,2,4,0,1,1,:1O,::1N:1N,,,1L,9,0.27002700270027
44,2,5,0,1,1,:2O,::1N:1N:1N,,,1L,9,0.27002700270027
45,4,5,0,1,1,:::1O,:::1N:1N,,,1L,9,0.27002700270027
46,1,6,0,1,1,1O,:::1N:1N:1N,,,1L,9,0.27002700270027
47,4,3,0,1,1,::1O:1O,1N:1N:1N,,,1L,9,0.27002700270027
48,5,3,0,1,1,::1O:1O:1O,::1N,,,1L,9,0.27002700270027
49,2,5,1,1,1,:1O,:::1N:1N,,,1L,9,0.27002700270027
50,5,3,0,1,1,:::1O:1O,::1N,,,1L,9,0.27002700270027
51,3,5,0,1,2,:1O:1O,:1N:1N:1N:1N,,,1L:1L,9,0.27002700270027
52,4,3,1,1,1,::1O:1O,::1N,1O,,1L,9,0.27002700270027
53,3,6,0,1,2,:1O:1O,:1N:1N:1N:1N:1N,,,1L:1L,8,0.24002400240024
54,3,5,0,1,2,::1O,1N:1N:1N:1N:1N,,,1L:1L,8,0.24002400240024
55,4,3,0,1,1,::1O:2O,:1N:1N,,,1L,8,0.24002400240024
56,4,4,0,1,1,::1O:2O,::1N:1N,,,1L,8,0.24002400240024
