,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
798,5,2,0,1,1,1O:1O:1O:1O:2O,:1O,,,1L,1,0.03000300030003
799,5,2,0,1,1,1O:1O:1O:1O:2O,:,,,1L,1,0.03000300030003
800,5,2,0,1,1,1O:1O:1O:1O:1O,:1O,,,1L,1,0.03000300030003
801,5,1,2,1,2,::1O:1O:1O,1O,1O:1O1S,,1L:1L,1,0.03000300030003
802,5,1,2,1,2,:1O:1O:1O:2O,1O,1O:2O1S,,1L:1L,1,0.03000300030003
803,5,1,2,1,2,:1O:1O:1O:1O,1O,1O:3O1S,,1L:1L,1,0.03000300030003
804,5,1,2,1,2,1O:1O:1O:1O:2O,1O,1O:2O,,1L:1L,1,0.03000300030003
805,5,1,2,1,1,::::1O,,1O:2O1S,,1L,1,0.03000300030003
806,5,2,0,2,1,:::1O:1O,:1O,,::1S:1S:1S:2S:2S:2S,1L,1,0.03000300030003
807,5,2,0,2,2,:1O:1O:1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
808,5,2,1,1,1,::::2O,1O:1O,,,1L,1,0.03000300030003
809,5,2,0,2,2,:1O:1O:1O:1O,1O:1O,,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
810,5,2,1,1,1,::::1O,:1O,1O,,1L,1,0.03000300030003
811,5,2,1,1,1,::::1O,1O:1O,2O1S,,1L,1,0.03000300030003
812,5,2,1,1,1,::::1O,1O:1O,1O,,1L,1,0.03000300030003
813,5,2,1,1,1,:::1O:1O,:,2O,,1L,1,0.03000300030003
814,5,2,1,1,1,:::1O:1O,:,1O1S,,1L,1,0.03000300030003
815,5,2,1,1,1,:::1O:1O,:,1O,,1L,1,0.03000300030003
816,5,2,1,1,1,::1O:1O:2O,:,1O,,1L,1,0.03000300030003
817,5,2,1,1,1,::1O:1O:1O,1O:1O,,,1L,1,0.03000300030003
818,5,2,1,1,1,:1O:1O:1O:2O,:,,,1L,1,0.03000300030003
819,5,2,1,1,1,:1O:1O:1O:1O,:1O,,,1L,1,0.03000300030003
