,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
2074,1,6,0,1,2,1O,:1O:1O:2O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2075,1,6,0,1,2,1O,:1O:1O:1O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2076,1,6,0,1,1,1O,::1O:1O:2O1S:3O1S,,,1L,1,0.03000300030003
2077,1,6,0,1,2,1O,:1O:1O:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2078,1,6,0,1,1,1O,::1O:1O:2O:2O1S,,,1L,1,0.03000300030003
2079,1,6,0,1,1,1O,::2O:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2080,1,6,0,1,1,1O,:::1O:1O1S:2O1S,,,1L,1,0.03000300030003
2081,1,6,0,1,1,1O,:::1O:2O1S:2O1S,,,1L,1,0.03000300030003
2082,1,6,0,1,1,1O,:::1O:2O:2O1S,,,1L,1,0.03000300030003
2083,1,6,0,1,1,1O,:::2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2084,1,6,0,1,1,2O,:1O:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
2085,1,6,0,1,1,2O,:::1O:1O:2O1S,,,1L,1,0.03000300030003
2086,1,6,0,1,2,,1O:1O1S:1O1S:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2087,1,6,0,1,2,,1O:1O:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2088,1,6,0,1,2,,1O:1O:1O:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2089,1,6,0,1,2,,:1O:1O:1O:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2090,1,6,0,1,2,,::1O:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2091,1,6,0,1,2,1O,1O:1O:2O:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2092,1,6,0,1,2,1O,:1O1S:2O1S:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2093,1,6,0,1,2,1O,:1O:1O1S:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
