,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
1372,2,4,1,1,0,:,:::1O,1O,,,1,0.03000300030003
1373,2,4,1,1,0,:,:::1O,,,,1,0.03000300030003
1374,2,4,1,1,0,:,:::,1O,,,1,0.03000300030003
1375,2,4,0,2,3,:,1O:1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1376,2,4,0,2,2,:1O,::1O:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1377,2,4,0,2,2,:1O,::1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1378,2,4,0,2,2,:1O,:1O:2O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1379,2,4,0,2,2,:1O,:1O:1O:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1380,2,4,1,1,1,:1O,1O:1O:2O:2O,,,1L,1,0.03000300030003
1381,2,4,1,1,1,:1O,:1O:1O:1O,1O,,1L,1,0.03000300030003
1382,2,4,1,1,1,:1O,:1O:1O:2O,,,1L,1,0.03000300030003
1383,2,4,1,1,1,:1O,::1O:1O,,,1L,1,0.03000300030003
1384,2,4,1,1,2,:1O,:1O:2O:2O,,,1L:1L,1,0.03000300030003
1385,2,4,1,1,2,:1O,:1O:1O:2O,2O1S,,1L:1L,1,0.03000300030003
1386,2,4,1,1,2,:1O,:1O:1O:2O,,,1L:1L,1,0.03000300030003
1387,2,4,1,1,2,:1O,:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1388,2,4,1,1,2,:1O,1O:1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1389,2,4,1,1,2,:1O,1O:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1390,2,4,1,1,2,:,1O:1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1391,2,4,1,1,2,:,1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1392,2,4,1,1,2,1O:2O,:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
1393,2,4,1,1,2,1O:1O,:1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1394,2,4,1,1,2,1O:1O,1O:1O:1O:1O,2O,,1L:1L,1,0.03000300030003
1395,2,4,1,1,2,1O:1O,1O:1O:1O:1O,1O,,1L:1L,1,0.03000300030003
1396,2,4,1,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,1,0.03000300030003
1397,2,4,1,1,1,:2O,:1O:1O:2O,,,1L,1,0.03000300030003
1398,2,4,1,1,1,:1O,:::1O,1O,,1L,1,0.03000300030003
1399,2,4,1,1,1,:1O,::2O:2O,1N1O,,1L,1,0.03000300030003
1400,2,4,1,1,1,:1O,::1O:1O,1O,,1L,1,0.03000300030003
1401,2,5,1,1,1,:1O,:1O:1O:1O:1O,1O,,1L,1,0.03000300030003
1402,2,5,1,1,2,:,:1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1403,2,3,0,1,2,:1O,:1O:2O,,,1L:1L,1,0.03000300030003
1404,3,2,0,2,1,::1O,1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1405,3,2,0,2,1,::1O,:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1406,3,2,0,2,1,::1O,:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1407,3,2,0,2,1,::1O,2O:2O,,1S:1S:1S:1S:2S:2S:3S:3S,1L,1,0.03000300030003
1408,3,2,0,2,1,::1O,2O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1409,3,2,0,2,1,::1O,1O:2O,,1S:1S:1S:2S:2S:3S:3S:3S,1L,1,0.03000300030003
1410,3,2,0,2,1,::1O,1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1411,3,2,0,2,1,::1O,1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
1412,3,2,0,2,1,::1O,1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1413,3,2,0,2,1,::1O,1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1414,3,2,0,2,1,:1O:1O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1415,3,2,0,2,1,::1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
