,num_dmt,num_tfsi,num_dol,num_ps,num_li,atoms_dmt,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
498,4,1,2,1,2,:1O:1O:2O1S,1N3O2S,:1O,,1L:1L,1,0.03000300030003
499,4,1,2,1,2,:1O:1O:2O1S,2O,:,,1L:1L,1,0.03000300030003
500,4,1,2,1,2,:1O:1O:2O1S,2O,:1O,,1L:1L,1,0.03000300030003
501,4,1,2,2,1,:1N:1O:2O1S,1O,:,:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
502,4,1,2,2,1,::1O:1O,,:,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
503,4,1,2,2,1,::1O:1O,,:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
504,4,1,3,1,1,:1N1O1S:1N1O1S:1O,,::,,1L,1,0.03000300030003
505,4,1,3,1,1,:1N:1O:1O,1O,::,,1L,1,0.03000300030003
506,4,1,3,1,1,:1O:1O:1O,1O,::1O,,1L,1,0.03000300030003
507,4,1,3,1,1,:1O:1O:1O,2O1S,::,,1L,1,0.03000300030003
508,4,1,3,1,1,:1O:1O:2O1S,,::1O,,1L,1,0.03000300030003
509,4,1,3,1,1,::1N1O1S:1O,1O,:1O:1O,,1L,1,0.03000300030003
510,4,1,3,1,1,::1N1O1S:1O,1O,::1O,,1L,1,0.03000300030003
511,4,1,3,1,1,::1N1O1S:1O1S,1O,::,,1L,1,0.03000300030003
512,4,1,3,1,1,::1N1O:1N1O1S,1O,::,,1L,1,0.03000300030003
513,4,1,3,1,1,::1O:1O,2O,::,,1L,1,0.03000300030003
514,4,1,3,1,1,::1O:1O,2O,::1O,,1L,1,0.03000300030003
515,4,1,3,1,1,::1O:1O,2O1S,::,,1L,1,0.03000300030003
516,4,1,3,1,1,::1O:1O,3O1S,::,,1L,1,0.03000300030003
517,4,1,3,1,1,::1O:1O1S,,::1O,,1L,1,0.03000300030003
518,4,1,3,1,1,::1O:1O1S,1O,:1O:1O,,1L,1,0.03000300030003
519,4,1,3,1,1,::1O:1O1S,1O,::1O,,1L,1,0.03000300030003
520,4,1,3,1,1,::1O:1O1S,2O1S,::1O,,1L,1,0.03000300030003
521,4,1,3,1,1,::1O:2O1S,1O,::2O,,1L,1,0.03000300030003
