,r ($\AA$),g_full(r),O (DOL),O (DOL),O (HME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
84,4.2250000000000005,0.9857750361889928,1.3847597516443175,1.3962780859925603,0.0694068910569845,9.265072497280682,3.7332792121395655,3.937655811344287,3.828654958435101,3.637903465844029,0.1073493248348028,0.8587945986784223,3.730389038009401,4.911231611192235,0.7782826050523202,0.1610239872522042,2.0664745030699536,1.6102398725220417,4.925197977433496
85,4.275,0.9940791525035793,0.9962923580459342,0.9712912951087714,0.0949099912755612,9.47547977953215,3.726312272849721,3.5399966592072367,3.985823306137471,3.779545305319005,0.2097058854850496,0.8650367776258291,5.137794194383716,5.190220665754978,0.7077573635120423,0.0524264713712624,1.5727941411378703,1.78250002662292,4.5193758178002525
86,4.325,0.9983392527034708,0.7535529426128722,0.7376758141623577,0.0821307353557832,9.40068804478996,3.4781245532245024,3.608147901008596,3.4131128793324543,3.679660742289848,0.3073279129442213,0.3841598911802766,4.405033418867172,4.917246607107541,0.640266485300461,0.2304959347081659,1.8439674776653256,1.7927461588412892,4.001534866498231
87,4.375,1.0037974711429956,0.5693288660327716,0.5717159891607917,0.1113342253877167,8.697832004167298,3.526148109797552,3.3863728694091817,3.4435536495680616,3.2656578890737684,0.3504007403675426,0.4755438619273794,4.054637138538707,4.755438619273792,0.5506297348632816,0.1752003701837713,1.827089574773616,1.401602961470171,2.949802151053293
88,4.425,1.0087726758386206,0.5028654129452449,0.501698671847924,0.129080334817066,7.620470752903808,2.887953463814403,2.813425632490159,2.863110853372987,3.123958263007837,0.2935944870348953,0.4648579378052507,4.599646963546689,4.428383512776334,0.4403917305523429,0.4648579378052507,2.544485554302424,1.859431751221002,2.2326662394158734
89,4.4750000000000005,1.0184759001844848,0.4289462882097457,0.4540442093284009,0.1262120022968916,5.7568663708307,2.6476727190740363,2.708399157584908,2.39869432117946,2.556583061307728,0.4784507276614188,0.4545281912783478,4.569204449166556,4.545281912783485,0.5023732640444898,0.1913802910645675,1.96164798341182,2.0334155925610315,1.6916650728028757
90,4.525,1.0273426211587635,0.4585702778356399,0.4753064193624881,0.1887878735743274,4.644442343797297,2.1915591110757062,2.387552202310121,2.2984644335672044,2.3578562793958144,0.3275550285093032,0.4211421795119612,4.421992884875594,4.819738276636893,0.5381261182652838,0.3977453917612967,2.526853077071769,2.2226948363131296,1.3708607680032212
91,4.575,1.037642150073358,0.4278634749766433,0.446418778738385,0.2249355834956538,3.637108211383081,2.0625773403210768,2.021906801216154,2.184588957635845,2.021906801216153,0.3890990970644115,0.5493163723262281,4.646300982592679,4.234313703348007,0.4348754614249305,0.2746581861631139,2.4032591289272487,2.380370946746989,0.9402838924257624
92,4.625,1.0461071715962875,0.4154584188825865,0.497695689458317,0.2154647960416769,2.302479265889528,1.790817206802966,1.8590388146811756,1.7567064028638626,1.853353680691324,0.6270875067592888,0.3807317005324251,4.859928177384484,4.434404512083541,0.4927116124537268,0.3135437533796443,2.306786185578813,2.038034396967689,0.6711938802303321
93,4.675,1.0557566015519269,0.4745632998795359,0.5205562188105923,0.2471611491259415,1.8139221271844157,1.6636893129697543,1.658125134665508,1.680381847882494,1.6692534912740018,0.5041482766575012,0.3945508252102183,4.734609902522626,4.120864174417842,0.5041482766575013,0.3287923543418486,2.2577074998140296,2.345385460971856,0.4576252768594714
