,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
88,4.425,0.9950636011002127,0.5429077293817998,0.5100042306313878,0.0069901415683437,8.607266011580318,3.928316173889853,3.690615513686328,3.746913038471375,3.828231685383106,0.5421243127448844,0.8378284833330032,5.815515354899675,5.002328885782347,0.9610385544113864,0.8131864691173267,2.4149173931363053,2.1438552367638626,2.456155049578867
89,4.4750000000000005,1.0076381376657495,0.5021183113634394,0.5101613964424874,0.0159478936237861,6.960326733417767,3.045907480880532,3.2355121634253043,3.4434656862163453,3.1621168024402317,0.4336998603663408,0.6746442272365303,5.589909311388392,5.252587197770128,0.9878719041677771,0.8433052840456632,2.3853492320148773,2.6262935988850664,1.630799985153025
90,4.525,1.018830983952321,0.5079395957234301,0.4562466280170636,0.0066846020280564,4.863253655473432,2.6798740930530096,2.703801540312412,2.847366223868823,2.6918378166827104,0.4241683832348515,0.942596407188559,5.302104790435646,5.514188982053073,0.824771856289989,0.7540771257508471,2.639269940127964,2.6157050299482503,1.1505928082646049
91,4.575,1.0292482581788136,0.4804078966586305,0.5034938596559558,0.0217976345942819,3.961686552688289,2.6567292391735347,2.481174443633433,2.2295459033592877,2.3933970458633818,0.2996844489522945,0.622421547823996,5.440425380980115,5.048530332350188,0.8068427471792541,0.8068427471792544,2.558844141054208,2.766317990328873,0.8927021065729657
92,4.625,1.0420584513729887,0.5098775117924579,0.4765310922448496,0.0170631092167074,2.817184959021541,2.124340690644291,2.198778504602178,2.141518647711498,1.8094114777455423,0.7443781395788626,0.7443781395788627,5.3911022836166085,5.323431543654895,0.676707399617148,1.1052887527080075,2.887284905033163,3.1354109515594506,0.6000599288441854
93,4.675,1.0550657594513315,0.5653561691391343,0.5127159299269248,0.0250501172732487,2.023102067397014,2.067935354209137,1.9670604588818623,1.92222717206974,1.9838729414364065,0.5740019296400487,0.8168488998723771,5.497172326168163,4.569938439826548,0.9051568890477693,0.861002894460073,2.914163642787941,3.134933615726423,0.4757818192306839
94,4.7250000000000005,1.0640705350887678,0.5287189870545754,0.5843736172708464,0.030653457584893,1.5635621326571223,1.8762745591885457,1.854329827502132,1.914677839639774,1.975025851777418,0.5186936580425535,0.8644894300709224,4.581793979375886,5.532732352453902,1.145448494843972,0.9077139015744684,2.874427354985816,3.3931210130283693,0.4584881441626139
95,4.775,1.0690929554212978,0.6277039833889019,0.66605245825832,0.0360178406705984,1.2086756148114286,2.0359469245045814,1.960740441805204,1.8156993680278333,1.6975177523573823,0.6560219161872125,0.8041558972617442,4.50750542412504,4.338209445754146,1.185071848596254,0.9734518756326376,3.28010958093606,3.2377855863433367,0.4703145929742421
96,4.825,1.0704935648808878,0.6760406334337562,0.6622035444453458,0.0372349664387264,1.1679719553601822,1.7309133933040544,1.9255753858640845,2.004492409874908,1.7361745282381087,0.8083016398684297,0.9741071044568256,4.26949071315119,4.621827325401531,1.2228153013394187,1.1191868859716718,3.523366122503409,3.336834974841464,0.4815549016170634
97,4.875,1.0734073197950662,0.6535306278814648,0.7048448845891944,0.0537527727722859,0.8658331245012831,2.231581803030092,2.03573859629766,1.8914330755474449,1.860510463958113,0.9948335142628378,0.7715035416732209,4.527507626134953,4.243269479202714,1.2993743859759512,1.4414934594420703,3.329646864063373,3.3905550384059957,0.4785642269777504
98,4.925000000000001,1.074669992950103,0.6896574484667903,0.773137304677351,0.0507859349257005,0.762498001324641,2.110756056647022,1.9087698311305603,1.8986705198547376,2.1713519243019603,0.934951392352712,0.755918147008575,3.898946231938964,3.560772324066707,1.0940920548808333,1.5715140424651957,3.4414168271706163,3.819375900674901,0.6497567101435149
99,4.9750000000000005,1.0776851020138942,0.7902132727826233,0.7716200193053849,0.0645169912920786,0.7620945525239686,1.8953390494589613,2.1328750138820176,1.9745177042666469,2.0091583657450096,0.7018108039772087,1.033221461410891,3.781980443654956,3.392085552556506,1.403621607954417,1.169684673295348,4.093896356533714,4.366822780302628,0.6695847976721332
