,r ($\AA$),g_full(r),O (DOL),O (DOL),O (OFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
90,4.525,0.993214560477018,0.4599831025310823,0.4338606053503048,0.0129908501969802,5.5258080257109015,2.962413492995998,2.660126401873956,3.0470538785101677,3.028916653042847,0.5954139673615946,1.0717451412508698,5.430175382337746,5.239642912782036,0.5954139673615945,0.6192305260560582,1.833875019473712,2.405472428140844,1.146840208971169
91,4.575,1.0031825303111548,0.4822049350800603,0.4688720797322248,0.015885564567325,4.039479115499812,2.7146719092451144,2.655528730394458,2.6969289555899176,2.602299869428868,0.7455624970264536,0.7455624970264535,5.009248026896489,5.242236307217256,0.7921601530906069,0.6989648409623,2.3298828032076693,2.6793652236888192,0.9179262758351848
92,4.625,1.0165910443217394,0.5425019237148053,0.4772712314845682,0.0124351622653785,3.130839065592093,2.54055147836401,2.27434335079056,2.3090661500392717,2.222259151917494,0.9119118994610932,0.6839339245958197,5.699449371631827,4.855930864630317,0.5471471396766557,0.7523273170554018,1.937812786354821,2.667342305923695,0.5450534643972805
93,4.675,1.029303170493618,0.5735216750832084,0.5171271504460838,0.0212985402574637,2.3335710525606257,2.163650830286794,2.191970867332432,2.401539141470159,2.067362704331622,1.004074040709008,0.8925102584080071,5.042682960005233,4.373300266199229,0.7363209631866058,0.7363209631866058,2.3428394283210165,2.5882797493832173,0.5785378996466183
94,4.7250000000000005,1.0373915306790495,0.58123928712549,0.5458232732146179,0.0387217381067338,1.879676893964632,2.5505940154092355,2.0681990603209663,2.190183991492713,2.1790944522952813,1.1795237146358912,0.9610933971107264,4.324920286998268,4.128333001225619,1.026622492368276,0.9610933971107264,2.424576524529332,2.599320778549464,0.5295820759589721
95,4.775,1.042994935526081,0.6333872560279178,0.5864696815073314,0.0291654343947591,1.3844607357696803,2.09026424812285,1.997966865738208,2.253141981742813,2.1391275682088406,1.133563216809638,0.7058035123531706,4.298985029787494,4.512864882015728,0.663027541907524,0.8555194089129342,2.459618300624686,3.015705916418093,0.5473578259065406
96,4.825,1.048484020101742,0.6263217015451066,0.616332519702282,0.0171384640543008,1.2017139436638744,2.073754150570403,2.0843887872399947,2.1269273339183616,2.0471675588964238,1.0892446043400092,0.8378804648769301,4.79686566142042,3.9799322081654127,0.9007214997427,0.816933453255007,3.0163696735569454,2.848793580581558,0.5572332581464682
97,4.875,1.0550846416400883,0.7701053243926337,0.681058838344693,0.0195868303703672,0.963629006243232,2.234577533396468,2.146027840930872,2.1824894790049414,2.1043573974176524,1.4363675604935962,1.0054572923455174,4.596376193579508,3.980790096225108,0.8618205362961582,1.149094048394877,2.995852340458073,2.8111765112517526,0.6840543469581025
98,4.925000000000001,1.058734397612774,0.7737234786353633,0.7209913952091609,0.0630566371007836,0.8114693252053354,2.128193135915879,2.1179859745925422,2.184332523194236,2.021017942020836,1.367141001489453,0.9248306774781604,3.900372857190504,3.3575374595402785,0.8645156332948016,1.2264058983949513,2.995647194440126,3.799847783551572,0.7040858218955288
99,4.9750000000000005,1.0647213919850471,0.7535515775922709,0.7836184734563011,0.0295543919572574,0.8252495600372661,1.9805989440894385,2.200665493432709,2.4407380927162765,2.1656549060371884,1.5368283817773896,0.7093054069741801,3.5662299628424066,3.290388971241336,0.9654434706037446,1.1033639664042798,3.3100918992128388,3.2509831152983253,0.8625057244669017
