,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
76,3.825,0.9482328559280528,1.5572305723012632,1.700639193574252,0.0080699419322,6.42230809555043,2.5722422604917736,2.447778925306689,2.414588702590666,2.38969603555365,0.0326873405536588,3.98785554754638,4.576227677512239,3.955168206992723,4.085917569207358,0.0980620216609766,1.0459948977170843,1.2748062815926966,1.1887518544208184
77,3.875,0.954637263289238,2.0473728942239355,1.830181259302554,0.0131050530461953,6.702307198605668,2.5871390875196814,2.530545419980188,2.676071993653169,2.3526796077132097,0.1273970005218023,3.312322013566858,4.554442768654428,4.363347267871725,3.8537592657845168,0.0318492501304505,1.401367005739825,1.528764006261627,1.6730606088934654
78,3.925,0.9689675590488912,2.235363979136749,2.319745268415422,0.0255465949953366,7.57281645692149,2.80533055011868,2.907772396049979,2.884131970065833,2.671368136208516,0.1552149180777273,3.042212394323458,3.849329968327641,4.87374842764064,2.886997476245731,0.1862579016932728,1.676321115239456,1.5521491807772736,2.0174771698715235
79,3.975,0.9816245809952115,2.7106415556700894,2.686104331790222,0.0273987601838862,7.875227555651648,2.950329152556328,2.9119134083824174,3.273021403617175,2.8734976642085046,0.1816016997312132,2.3305551465505694,4.267639943683516,4.782178092921954,2.6634915960577943,0.1816016997312132,1.6344152975809187,1.1501440982976836,2.711053945987397
80,4.025,0.9838885449819808,2.856282697664249,2.840797675646355,0.0218636855877223,8.5350409330348,3.402026851271116,3.649310741341485,3.432000656128133,3.349572692771344,0.147598281492873,2.420611816483119,4.664105695174793,4.427948444786196,2.036856284601648,0.1771179377914477,1.8006990342130518,1.2988648771372826,3.518863519183152
81,4.075,0.9783598205776372,2.679495863357196,2.617693037190576,0.018960401532746,9.10912383099082,3.5895504020999107,3.60417178866651,3.794249814032288,3.494511389417023,0.1151988032519875,1.8719805528447997,5.299144949591434,4.953548539835471,1.727982048779814,0.1727982048779813,1.2383871349588662,1.353585938210854,3.966424100745095
82,4.125,0.9772378642139667,2.4058454555450863,2.278516587424316,0.0208164901077873,9.296306436571983,3.802710154023688,3.9668045884374687,3.923997344677353,3.688557503996711,0.028105766105127,1.545817135781987,4.356393746294694,4.581239875135712,1.6582402002024947,0.3653749593666515,1.2928652408358432,1.5739229018871144,4.684772340073984
83,4.175,0.9750324913782744,1.7781066354673687,1.8212836177855625,0.0451575179690002,10.203254343714898,4.213630633411268,4.2554187058087365,3.997725592691023,3.837537981834064,0.1097464527610248,1.509013725464091,4.7190974687240645,4.527041176392272,1.042591301229736,0.2194929055220496,1.6736334046056285,1.7833798573666526,4.970506434487848
84,4.2250000000000005,0.9819190750734968,1.3389343510670055,1.3274358690444836,0.0220475188683436,10.554859586731844,4.168897504295503,4.209702373831837,4.434129156281675,4.0260804609183305,0.214328607665595,0.8037322787459816,4.340154305228294,4.983140128225082,0.9912698104533776,0.2679107595819938,2.2236593045305484,1.7950020891993586,4.67312910642307
85,4.275,0.9915032860280428,0.99083151106819,0.9683693357543012,0.0538370231269423,10.276195626378248,4.08523614106181,4.450582462620182,4.490438424972007,4.131734763805603,0.2616805608958046,0.7850416826874137,4.657913983945324,4.91959454484113,0.7850416826874136,0.3925208413437069,1.8579319823602127,1.6224194775539882,4.458716332487904
