,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
85,4.275,0.976809841644322,0.9750481824045192,0.9990766071330354,0.0374391667033675,11.06716167431048,4.779613618467423,4.725758817132578,4.543998862627479,4.577658113461758,0.424310555971499,0.7955822924465606,5.250843130147301,4.587857886441833,0.8751405216912167,0.3182329169786242,2.3337080578432445,1.8828780921235269,4.598952741540579
86,4.325,0.9881175533367074,0.7833594470370411,0.7611189580044437,0.0411508513651266,10.45101489503234,4.643433930706631,4.73551335709458,4.742090458979435,4.551354504318682,0.4145567248634982,0.8550232450309656,5.311508037313572,4.430574996978637,0.6477448825992159,0.3368273389515923,1.9432346477976503,3.160995027084175,4.3885376760262815
87,4.375,1.0002664940306691,0.5675261849011828,0.5771862050697136,0.0491524555634066,10.618442784943936,4.312938927782919,4.184386351694011,4.126537692454,3.9208535707117433,0.4051353913105031,0.6077030869657546,5.190797201165823,4.735019885941509,0.6330240489226608,0.4810982771812224,2.354849461992302,2.405491385906115,3.751636404227365
88,4.425,1.012711055476064,0.5099193163192371,0.483951202988165,0.0567839444643476,8.551426836560779,3.506022171051372,3.49973897719644,3.857881026927494,3.411774263227409,0.5940474190116365,0.6435513705959398,5.494938625857634,5.123658988975359,0.470287540050879,0.3217756852979698,2.4999495550073045,2.2771817728779404,2.100381945791142
89,4.4750000000000005,1.0213368821986502,0.4558850874086517,0.4824302950299149,0.0533866649439496,6.678063997841037,2.998063689923119,3.047212275003826,3.090217286949444,3.2806680541371835,0.6050488693647625,0.5566449598155817,5.639055462479589,5.155016366987779,0.8712703718852585,0.4598371407172195,2.4201954774590515,2.3233876583606894,1.5076829989681113
90,4.525,1.0323339108019924,0.4571537906304602,0.4436084931302986,0.0710101959856966,4.776801260730133,2.3793877977976496,2.812003761033587,2.685824105089773,2.631747109685281,0.4970713718998767,0.6864318945284015,5.089064045641592,4.994383784327329,0.5680815678855734,0.8284522864997947,2.2723262715422923,2.627377251470776,1.203550362573899
91,4.575,1.0385484164163847,0.4427991116755801,0.4118804704613249,0.0510783511274456,3.885317998652424,2.3981993093043696,2.257128761698231,2.1924714273787496,2.19247142737875,0.6020434986221597,0.7872876520443629,4.793192469799504,4.746881431443953,0.6483545369777104,0.6483545369777103,2.385018475310864,3.403861319132979,0.9902528660618022
92,4.625,1.0434847766579496,0.4516452693857918,0.4656916533619049,0.0819670930008807,2.881520090796814,2.03604413601212,2.116565655515424,2.001534913367846,1.926764930971921,0.7250422535362457,0.8156725352282762,4.644801936716578,4.82606250010064,0.6117544014212075,0.6344119718442153,2.9681417254140063,2.673593309914906,0.587478433110842
93,4.675,1.051632136401343,0.4674162286810097,0.5044288259747549,0.0723965272046638,1.975838193818096,1.9476923506013144,1.987096531104808,1.9645798565313837,1.7957047972306903,0.9978980776859068,0.6209143594490086,4.501629106005317,4.36857602898053,0.709616410798867,0.5987388466115441,2.8162901303580057,2.860641156032936,0.4704376651947846
94,4.7250000000000005,1.0542305202551057,0.5238316395664478,0.5403954858768496,0.0861962189348099,1.4823686841291452,1.9507751456569424,1.9507751456569424,1.917711160137333,1.813008539325237,0.5644256113953485,0.694677675563506,4.276609440187834,4.320026794910551,0.6295516434794273,0.8466384170930232,3.321427636288013,3.017506153228979,0.4751542136746556
95,4.775,1.060056790227023,0.5869170575011857,0.6142862467110856,0.0787738280052018,1.1655063958923493,1.953302385708474,1.9802817004282045,1.8291975379977148,1.7428637308945778,0.7439750422713515,0.9352829102839848,4.54887597274484,4.57013240252402,0.8715136209464406,0.7864879018297144,2.784592301072776,3.12469517753968,0.4652555293504516
96,4.825,1.063912994419939,0.5787872037769057,0.6393464137775768,0.0936817585405316,0.914237879500674,1.6646527863740597,2.1455524802154557,1.6593681743538244,1.8337603710215828,0.7286358997596891,0.915999416840752,3.4558159817173872,4.496724409945517,0.9784539225344396,0.9992720910990022,2.8937254304741966,3.455815981717385,0.4206119771207538
97,4.875,1.068851167996407,0.6097662481081323,0.6467217782965041,0.1205605264321464,0.8075755860111543,1.8843430340260263,1.9050501003340048,1.8584592011410543,1.8739895008720364,0.9584861753162685,0.7749462694046425,3.9359113156604177,3.9155179927813473,0.8769128837999899,0.8769128837999901,3.262931660651123,3.2629316606511227,0.5562382862831929
98,4.925000000000001,1.070847392702292,0.6898763456973931,0.7003578923861657,0.133992587130755,0.8166224333493195,1.85134899486026,1.968009342481592,1.648461433779683,1.8817821290223464,0.7193286256493157,0.7592913270742776,3.756493933946426,4.056214194633642,0.7193286256493157,1.318769147023746,3.1970161139969586,3.037165308297111,0.578643605326745
99,4.9750000000000005,1.071286249742902,0.731174142055487,0.7526517988463888,0.1399518273010501,0.7307000533102699,1.948533475494054,1.8441477535925863,1.6950252937333474,1.898825988874305,0.842014697589035,1.1944859663472358,3.622621373348175,3.505130950428774,0.8028512232825684,1.096577280581069,3.642203110501408,3.505130950428774,0.698948128183778
100,5.025,1.0745730763231665,0.802736047701035,0.8045666886307984,0.1541164714291842,0.7113589015992545,1.934311533800713,1.851482072655595,1.9927793887266796,1.7589079690228142,1.1900275522810282,1.170833559502302,3.0134568662600216,3.723634599072891,1.2476095306172073,1.170833559502302,3.5125006785069037,3.896380534081428,0.7109611610895539
101,5.075,1.0767755001264758,0.8067388533448503,0.80225198541746,0.1544154397514207,0.7165182936356244,1.9871440676827965,1.996697644931272,1.9107154496949963,1.9298226041919468,0.8844296513360937,1.091423825053052,2.8414654755691524,3.161365562222633,1.2607826944578358,1.110241477209139,3.4624479967200266,3.3119067794713297,0.8997910000349416
